VIN|StreetName|VehicleMake|Date Reported
2RPOD85FTKN802430|BOOTH RD| volvo|10/12/2014
4GHWS18YRVS408959|MOKUHANO ST| honda|6/9/2017
3BCDG77VYTO311754|PAHOA AVE| honda|10/29/2011
5WKXO51TCUH533948|HIO PL| toyota|5/23/2013
3CCXR25YVWH608961|AWINI PL| jaguar|3/21/2017
5LFSZ72ZKNN814581|KAM HWY| subaru|1/1/2018
1DAOP62ASEO215231|KUNIA DR| bmw|11/21/2013
5ELGC1FBHT529194|KAHUWAI PL| porsche|8/24/2016
5FWDJ55VQGE52870|HUI ULILI ST| mercedes-benz|1/7/2014
1JNUK89UYLB385850|LIKINI ST| audi|11/26/2012
2BFUG61TVNL894390|HOKUULA LP| volkswagen|5/7/2016
2OTVK75CHXV880918|PUPUKAHI ST| bmw|4/27/2015
5BSZZ38AEYL145943|KINAU ST| saab|8/2/2016
2BXTG65NTFS859232|WAILEPO ST| mercedes-benz|11/20/2014
3WZTK27ZJWE649123|KIHAPAI ST| honda|8/24/2012
1NDQB85MBSC527603|ALA AKULIKULI|mitsubishi|1/9/2015
5TAFM54ZGGE741294|LUALUALEI NAVAL RD| jaguar|6/26/2011
2EFTO70UYIK261000|LUALUALEI NAVAL RD| chevrolet|3/27/2016
5AEGL40JTLG97253|NOHOLIKE PL| mercury|11/25/2017
5PDAE42PCBF768649|WAIAKAMILO RD| mazda|6/16/2013
1MUUM45EPZJ918756|PUAINA ST| honda|11/28/2017
4UIOB41EHVK558320|NAHIKU PL|renault|4/23/2013
2HOMN28PZSS363892|KANOA ST| jaguar|1/10/2015
1DAZQ10TUDN486664|ALAHAKI ST|renault|4/30/2016
3HJDA51EAEP760885|LANILOA PL| bmw|7/21/2011
1HBFP36JCPJ550313|AULOA RD|renault|11/20/2012
3YFTP2RRVK816748|LUSITANA ST| bmw|8/26/2012
4HSCA76ABDS718875|WAIKUPANAHA ST|renault|3/16/2014
3IBVM94LGPV278404|KAKAINA ST| dodge|8/4/2011
3ECXY59GIVG718301|PALANEHE PL| subaru|4/5/2014
5AMWX8NAQB150110|PUKELE AVE| saab|2/1/2012
5PXAP93AXUQ550229|KAHUANANI ST|mitsubishi|3/3/2016
3LKLF36ARSF454045|NENEHIWA PL| audi|5/20/2012
4MUZX74KTIY979876|KAHUHIPA ST| peugot|9/24/2015
5WIQY26UQZT17016|21ST AVE|mitsubishi|7/26/2012
1GLWD55QCWX943171|21ST AVE| porsche|3/18/2014
4TNDJ60DLHV428842|21ST AVE| nissan|7/6/2015
4XYMC80TLAL741185|HOOLULU ST| mercedes-benz|1/2/2014
1NINV2JVUD814779|LUNALILO ST| dodge|8/10/2017
4AOKG92EICT704904|AIALII ST| toyota|2/5/2012
1LTLB40GSIA441657|ST LOUIS DR| peugot|5/1/2016
3NHLT65QQPD77016|KELAKELA ST| saab|7/12/2016
3WVNS52GXOI448388|WINAM AVE| volvo|1/20/2011
1YBCH45XGZN915409|WINAM AVE| volvo|7/6/2016
1NRDT19BSIN793438|MAKAWAO ST| volvo|10/10/2011
1HRCF29WKXA239503|HAWAII KAI DR| honda|4/15/2016
4OFKI56IKND834670|FRANCIS ST|mitsubishi|3/12/2012
5GZDK74QWBO198025|HALOA DR| peugot|7/22/2016
3XHWP35YFSO34856|KAHUANANI ST| chevrolet|8/29/2014
5XHWS99GHYS727050|MEHEULA PKWY| volkswagen|4/17/2013
1LZGX69TTQQ218249|KIRKWOOD PL| mazda|3/2/2012
2EFPX65QZEQ537917|HALULA PL| audi|5/7/2014
1JADG17PJRD191399|ALA HEMA ST| alfa-romero|12/24/2015
3ACMV84ITQL735372|ALA KAPUA| peugot|5/16/2013
5HDFD15PXYN832162|ALA KAPUA| volvo|5/4/2012
5SCRZ30KWSB687989|ALA KAPUA| saab|6/21/2012
3PXBE54PFVT733853|IHO PL| dodge|5/30/2013
4NSHC65GFLP279086|AIALII ST| bmw|7/2/2013
4FPAI48OYLR956356|KALANIANAOLE HWY|renault|11/3/2012
3DYTC42HDKO946294|IPU LEPO WAY| mercedes-benz|5/2/2015
3ONOT1ULEK263787|8TH AVE| mercedes-benz|5/8/2016
5VCNX4YMEG521225|8TH AVE| audi|9/8/2017
3DQBX1SEDG940203|8TH AVE| chevrolet|1/21/2016
2MYDY56KGGE797916|KULEANA RD| volkswagen|10/6/2017
3FJXP73ZENA549505|KAHA ST| volkswagen|10/27/2011
2VSVW22TTDV829861|KANOA ST| mercedes-benz|3/6/2011
5TBUW48OKMX40744|KUALII ST|mitsubishi|12/7/2013
5OZQA76EANJ860239|HALAWA DR| volkswagen|11/9/2011
3JGNB54UAWT265635|BERTRAM ST| peugot|4/27/2013
4KOJJ49UPDQ204141|COOLIDGE ST| audi|6/9/2016
2IAFQ70XRYC816652|ROBELLO LN| mazda|7/7/2017
2KUAC23ELML342215|11TH AVE| nissan|6/26/2015
1BCIE84JEOX683581|8TH AVE| jaguar|8/18/2016
5FQYQ47ZJNL486858|LEIHOKU ST|mitsubishi|10/21/2016
1HGDF43MUES878237|MOKUNA PL| plymouth|2/17/2015
3MHMM87AHWS773710|SUMMER ST| mercedes-benz|5/18/2012
4DBMO29BPPV747252|ANAPUNI ST| toyota|4/3/2013
3RGOI48XOZT874096|LEIHOKU ST| jaguar|7/7/2016
1JJYL0WBGO56329|POLINA PL| subaru|7/22/2015
5QFPK50ZKMQ53770|POLINA PL| porsche|4/7/2013
5BNVB4YKKQ466626|KAIKUNANE LP| mercury|9/11/2011
1JYAF9MPZC597730|LEIGHTON ST| honda|2/5/2014
4MNUC9UMEE212258|MOELIMA PL| nissan|7/19/2017
4LNXM42NFGC641872|ORANGE ST| volvo|4/19/2016
3JHEJ62BNZY558950|UPAI PL|isuzu|2/2/2013
1ZUPH35NQMM871006|UPAI PL| bmw|9/28/2015
2ZSJY75CQBL95283|UPAI PL| volkswagen|3/11/2011
2JPKE80EYQG595844|KIPAPA DR| bmw|1/5/2017
2ZOFW24YMCE405420|MAHAILUA ST| bmw|5/23/2014
1JREM78AUOQ796138|AHAOLELO RD| toyota|2/4/2011
5FCAA47UDVS548082|AULOA RD| mercury|10/19/2011
4BDDJ58URWQ119697|LII IPO ST| mazda|1/4/2013
2WPJJ18UIZM775888|KAHIKI PL| mercury|2/29/2012
3UITG99DKWZ189936|ANAKUA ST| bmw|4/11/2013
1KFIH77JJYT172618|ALA AKAU ST|isuzu|9/30/2013
3MDAC64YGIY743503|PULAMA RD| nissan|8/24/2016
3PGSD28CIJQ97747|9TH AVE| jaguar|6/23/2011
4UYFQ54BNPZ856371|9TH AVE| toyota|4/17/2011
1OLPJ84THAH685258|NUKEA ST| honda|9/11/2015
2OCCI79EANE394323|HAWAII KAI DR|renault|8/6/2011
3ESNQ68SBOR971889|HAWAII KAI DR| subaru|5/9/2013
3RZYN42DSMR851422|HAWAII KAI DR| nissan|5/4/2011
4ZUQG84GAAG599047|HAWAII KAI DR| plymouth|3/28/2014
4ZUNA12XJMA496633|KALUAMOI DR|isuzu|3/23/2016
3TIPB54JDKI406156|KANALUI ST| honda|10/13/2013
2LNPJ34ISHM925813|PROSPECT ST| mazda|9/9/2014
5VSEZ4NTVR867029|STAR RD| dodge|9/21/2015
2MNIO61YSPN154105|AIALII ST| jaguar|3/6/2017
3WZLU93CFJH913289|KINAU ST| toyota|3/30/2016
5EHIM87ZGVL188586|LOKALIA ST| peugot|12/18/2017
5GTDF89ENWO13430|LOKALIA ST| nissan|3/21/2017
3EZAN94PZLX916129|AULOA RD| nissan|11/24/2014
1NXIG87XTEZ859176|KAIHOOLULU ST| porsche|12/13/2015
4OHZV89RKRO417873|ANALII ST| mazda|7/30/2017
5ZHXY91GCSR20116|KAKAE PL| porsche|8/22/2014
1ECHS61LEIQ15691|PALEKANA ST| volkswagen|4/3/2013
4IQAQ35EYXB322284|KUWALE RD| audi|2/20/2011
2EYRX48NTMI724702|ISENBERG ST| subaru|10/5/2017
3ZGCA70DUHM580253|PAPALI ST| mazda|9/4/2015
2TLND18TGSL628180|GARDENIA ST| audi|1/30/2014
2KOQM88JDJJ164243|LOKALIA ST|renault|12/28/2017
2HIRX67ZLKG808286|KAWAIHAE ST| audi|12/3/2014
2EGRA34NYBP141231|KAHILI ST| dodge|6/21/2015
5TRXM46FMCS25130|MANUAIHUE ST| audi|3/24/2013
5HZZW77CUNY94943|PUOWAINA DR|renault|8/22/2015
3AVYU41AXYC505795|ALA POHA PL| dodge|7/3/2015
1XEPK42GRWN48073|HOAKOA PL| mazda|4/27/2014
4OEIP47PIOU550328|9TH AVE| nissan|5/10/2014
3NXDD10VVCT512478|KOKONANI ST| mercedes-benz|1/21/2014
3GTOI57KLMD190530|PROSPECT ST| mazda|6/27/2016
5MJNR13KXFJ341664|IANA ST| nissan|11/27/2011
1KLGK38EHSZ760451|IANA ST| mercury|12/17/2012
4XEYM97AAHH331521|PROSPECT ST| alfa-romero|10/27/2011
5VCQN3WFGH448005|ILIAHI ST| mercury|12/16/2014
5KOXD29USQP161864|9TH AVE| volkswagen|11/30/2017
4OGQC43IFOF710594|ALA WAIOPUA| plymouth|5/10/2011
1UHVR18UAAZ506209|KAMAHAO ST| nissan|11/11/2017
1PICJ89BXVN493180|SPENCER ST|renault|4/28/2012
2KYHQ0FNFV440632|PUOWAINA DR| mercury|7/8/2013
1AQDN53CESS771059|PUOWAINA DR| saab|5/27/2016
1OUUL46JJGX42932|ANDERSON CT| mazda|1/8/2011
4WPOA4TCME769072|PULAA LN| nissan|1/6/2012
5TQWZ18XUZN506796|COOLIDGE ST| volvo|10/9/2011
1OSXT27XZBP750021|COOLIDGE ST| mercedes-benz|6/6/2014
3YBRQ58MEQO92251|KILAKILA DR| porsche|11/17/2011
1JELS92NZNJ483322|KILMER ST| volvo|11/27/2014
2USYA45KNBX3194|KILMER ST| jaguar|1/24/2015
3BKOA34OEAF761375|JUDD ST (NORTH)| bmw|8/3/2012
5FTVJ91ZHMV377528|BANYAN ST| subaru|8/22/2016
4PLGK92TSYE423739|LILIPUNA RD| volvo|6/29/2011
1FMXJ4XPMS327595|LILIPUNA RD| nissan|7/5/2016
4OCLR19CLYB196661|LILIPUNA RD| peugot|9/20/2011
1FELL52JNGE253491|LILIPUNA RD| volvo|8/14/2013
3RBGB43KLMJ32883|LILIPUNA RD| plymouth|8/11/2012
3XAJT86OKEY142303|LILIPUNA RD| subaru|8/11/2011
3ROEJ63FHUJ280084|LILIPUNA RD| audi|6/8/2016
5NXTP64IVPJ68725|MANUKU ST| volvo|11/15/2013
4BNIN98WJPV578603|COOLIDGE ST| volvo|1/5/2012
2DYHN60DDRY817589|KONO ST| nissan|8/2/2011
5RNGJ10IPMF303589|OLOHIO ST| alfa-romero|4/13/2016
3PJLH99KWDS165074|AKONE PL| peugot|5/16/2011
3BFRX49LMCO152392|11TH AVE| chevrolet|5/13/2012
3ETKN28DOQY448753|11TH AVE|renault|2/13/2014
1LCFG2GKWL726339|KA HANAHOU CIR| mazda|10/5/2017
3LGDG2ZFZX578420|KA HANAHOU CIR| dodge|1/22/2017
4GVAQ75EQXB183265|KAMINAKA DR| audi|4/5/2015
2UPDQ87YAAX324181|HANAI LP| alfa-romero|1/28/2014
1JPEV41QXVD4877|AHE PL|mitsubishi|12/28/2011
1KUKB95DAEJ705959|AIALII ST| toyota|8/31/2017
4NHOG96HNYA163972|KALANIANAOLE HWY| mercedes-benz|4/14/2014
2ZQYA54BUCB394566|LOLENA ST| mazda|5/24/2013
2MOBW26VTEI456826|LOLENA ST| honda|10/25/2016
4UCLS55GBGM686314|IHOLENA PL| mazda|3/30/2015
5GZSP19BFTT299887|BOOTH RD| mercury|4/11/2017
1GYQK73WZRO81176|KAAMAHU PL| bmw|1/23/2014
1QVAM83NPXU264572|COOLIDGE ST| dodge|12/23/2016
2VXKC62TPMH439664|KAM IV RD| peugot|2/25/2014
1ASPR55UCNG186155|COOLIDGE ST| porsche|1/16/2012
2WNIA35IIQJ176358|10TH AVE| saab|5/7/2012
4UKJG81GQDC795305|PROSPECT ST| volkswagen|9/26/2011
3SDPE37XFER368334|KAOMI LP|mitsubishi|6/9/2011
3OQEG97OJRI64530|SELF LN|isuzu|9/24/2012
3KLTJ53OXXP279857|EMERSON RD| peugot|9/19/2015
3EQRA12XYUR566525|HALAI ST|isuzu|7/26/2013
2JEDY15VOLI439048|PALI HWY| mercedes-benz|12/25/2017
3WKVP5KTPH963558|HALAI ST| porsche|3/10/2011
3TEFR82JKSG697544|PEPEEKEO PL| mercedes-benz|5/6/2017
5TXFP58BXOF653541|AIALII ST| audi|3/18/2017
4ZVWH3WMWJ3992|HALAI ST| volvo|5/8/2014
2SPYC1SUFL298846|CASTLE ST| saab|6/24/2012
3KYTM87DLLP109759|LEIHOKU ST| saab|6/26/2015
1REVU19QCUL679963|KANAPUU DR| volkswagen|11/7/2016
3AXQK82NPQU273609|NAMAUU DR|mitsubishi|9/28/2011
3HMUV21PVTV748223|NOHOLOA LP| nissan|3/29/2015
5NLEI54WUDB264660|HOAWA ST| jaguar|1/12/2016
4DSLC47YEOI162807|ROSE ST (KAPALAMA)| nissan|8/28/2016
3NJZM53GSJS114398|UPAI PL| plymouth|11/24/2015
1BTKE17ZRUQ841188|UPAI PL| saab|1/6/2012
1MAAJ69BACN510083|KEANIANI ST| chevrolet|5/16/2015
2TYKQ34SVQK788962|KAHUHIPA ST| nissan|8/16/2014
5IDCA79WSWI267814|COOLIDGE ST| subaru|10/30/2011
4TVAZ31UOLM107128|COOLIDGE ST| volvo|1/27/2014
5GICN19GHWD217634|COOLIDGE ST| volkswagen|12/4/2012
2OIZJ85AVQM542939|KAAPEHA ST| mazda|5/10/2013
2HEOI94NORI187241|KAAPEHA ST| subaru|2/6/2016
5VZIO48XVGT592577|KAAPEHA ST|renault|9/11/2017
5WLZY86VIRL98923|MAKAIKAI ST| mercury|6/24/2014
2AUSF81UYUM829449|MAKAIKAI ST| subaru|5/7/2014
2NKAG85NSZR732285|MAKAIKAI ST| chevrolet|7/21/2016
4LQTQ84TFAR886618|KAIMUKI AVE| honda|8/19/2012
5DMYP30QPHI404225|KILAUEA AVE| mercury|4/13/2013
1VUYG53CLNA28040|PUALELE PL|mitsubishi|10/31/2012
1BSQY24GDLR574126|MANUAIHUE ST| chevrolet|8/31/2017
2AIME76CATZ739896|LEIPUPU PL| porsche|11/7/2017
2OWXP10KGSS801076|HULI ST (WAIMANALO)| audi|11/5/2015
2RBUC34QBXP664263|MAHIAI ST| jaguar|8/23/2016
3WCWB67OVTB845389|PAHOUNUI DR| saab|8/27/2014
5WGZG45OIRA361926|KAM HWY| volvo|7/22/2011
1CYTR26AFOB351903|PUPUOLE PL| mercedes-benz|10/12/2017
3YHIU85ZTON824549|PUPUOLE PL| peugot|11/15/2016
1KERG86LERS933493|KUPAU ST| porsche|12/1/2015
2ZJUU10BVIW637272|PUKELE AVE| saab|11/14/2014
4TTDC46RHOG721709|PUKELE AVE| nissan|8/24/2015
2QZNX72NPAH901396|PUKELE AVE| dodge|3/9/2016
5GBLM4DCRF434379|HALOA DR| volkswagen|10/21/2016
5KFMG16PGNH891939|PAPALI ST| toyota|7/19/2014
3FYDP46PJWQ724089|NALANI ST|isuzu|1/29/2016
5HRPN12GHJD621595|2ND AVE|mitsubishi|1/1/2011
1VTXI25NJWL777835|WAIMANO HOME RD| peugot|3/30/2012
3LNTP71FUHX155217|19TH AVE| porsche|5/30/2015
3KMPB43ARHD370001|HANAI LP| porsche|1/30/2012
4BTZK64WWAG182147|OLOHIO ST| bmw|2/20/2013
3NUQU30RQKQ721227|IHE ST| nissan|9/3/2014
4URRS78YUNU874891|KAPALAMA AVE| volkswagen|9/23/2015
5IILK43IHIZ94070|KAPALAMA AVE| honda|11/29/2017
3VCHH27BYWA681625|KINOHI PL| porsche|5/15/2015
3WWHE2SFZU776155|HAWAII KAI DR| plymouth|10/22/2017
5PDUG30YGTI913568|MALUHIA ST| mercedes-benz|5/12/2013
2KVIG32IXEK29626|ALA KAPUA| audi|6/21/2015
5LUGQ93TPGQ41030|KUNAWAI LN| peugot|4/15/2011
5RBTS59DQFK808135|UNIVERSITY AVE| subaru|9/17/2014
5SSXX3AZVB700374|AKULE ST| audi|12/31/2013
4EUCB48GQVJ170261|PUOHALA ST| subaru|8/29/2011
2STQT47GMFE719288|PUOHALA ST| subaru|9/18/2012
1YFBS97TGZO972748|MATSONIA DR| nissan|3/15/2017
1LETQ79SXCQ298516|PUOHALA ST| volvo|8/26/2013
3IMAM79ADYP287662|MAKALANI ST| chevrolet|3/10/2017
3CZUG22YUKP174867|ALA MAHAMOE| mercedes-benz|11/22/2011
3PNCZ54ROSM613404|ALA MAHAMOE| mercury|5/26/2017
4CZXD0INOR894408|ALA MAHAMOE| alfa-romero|5/23/2017
1XOZQ50BLZE330611|BATES ST| dodge|1/2/2013
5DURA76CEAA543847|WOOLSEY PL| alfa-romero|5/5/2015
4SBYW6OXVM17716|ILIMANO ST| peugot|3/27/2012
1RGWX83PHGP38218|MAHANA ST| mercedes-benz|7/2/2016
1ZBMQ34EJHG942904|AIALII ST| nissan|9/17/2016
1NHCQ3FYCM391892|PUKELE AVE|renault|12/18/2014
4UYMO39VFWA610586|SALT LAKE BLVD|mitsubishi|6/7/2016
3NZZR29QMZS623057|KAPANA PL| jaguar|9/28/2014
5HZQK49MDRQ255926|KEWALO ST|mitsubishi|7/22/2014
4RHUU13AIDE219210|KINAU ST| bmw|7/21/2012
5FFIY4SJKJ567690|KAIMUKI AVE| chevrolet|8/13/2012
1ZVQA13OKIC468889|PROSPECT ST| volkswagen|6/23/2014
4PEMB78QOCQ889113|AHUKINI ST| dodge|2/6/2013
1CVES20CDGJ659350|LUMIHOAHU ST| toyota|2/22/2012
2KWFO94JZJP662950|SALT LAKE BLVD| alfa-romero|7/22/2011
1XHZE83QIQT157050|KINAU ST|renault|2/21/2011
3AEYV77JQKR664319|COOLIDGE ST|renault|2/29/2016
4GEAE61FLEL579318|ALIIPOE DR| saab|12/9/2012
1WJIX69BFVJ774490|KAKAE PL| honda|12/11/2017
1VZIM65OGHQ120884|LUAPELE PL|isuzu|6/24/2011
4AUZS82CZQU356655|HANAI LP|isuzu|11/2/2016
3FQYX9ZSAP836228|MOUA ST|mitsubishi|4/16/2012
4STUW88OJYJ514183|PIIKOI ST| toyota|2/1/2014
5RVAZ60TOTS500733|WAIAKAMILO RD| peugot|6/29/2017
5JLND72SWFO441964|COOLIDGE ST| volkswagen|2/28/2013
4JXQS96JBXK235917|COOLIDGE ST| saab|11/30/2012
2AKNQ61SSWX424824|KEKUANONI ST| plymouth|3/18/2014
3NYGL26NURY747376|CIRCLE MAUKA ST| peugot|12/5/2013
2ETYE43YUAC549301|MEYERS ST| mazda|12/27/2016
1HSRR44OVMW470820|SELF LN| saab|2/25/2014
4GWXC3RFXF911085|HULI ST (WAIMANALO)| honda|5/12/2015
2MVKK42XKKC513454|NOHOLOA LP| peugot|3/10/2015
1QPJQ92CJET999273|NOHOLOA LP| mazda|8/10/2011
2AHQZ70JSUD785809|ALA AKAU ST| porsche|11/9/2012
1RGVI43FBDQ119340|KALAEPAA DR| volkswagen|5/28/2013
4JQPX64WDLX893541|KALAEPAA DR| mazda|9/28/2014
4ZPGU50MBBB611760|MCNEILL ST| chevrolet|11/27/2011
1RVQE80FCTV862594|ALU ST| dodge|3/5/2016
1WGRL69MYGY722744|LILIHA ST| mercedes-benz|1/7/2017
2ZUFO45SEXL75762|LILIHA ST| subaru|12/13/2013
2VQFZ98WIMQ697744|LILIHA ST| dodge|12/8/2016
1LDYC20IASN648934|LILIHA ST| subaru|1/24/2014
3CRHX55MTRB301659|HIHIWAI ST| volvo|10/22/2016
1ZDDE1JFYY965483|DOLE ST| nissan|12/1/2013
3OMLZ71IWCX609937|AAWA DR|isuzu|9/3/2016
1FPGW80LORC677756|SPRECKELS ST| dodge|3/27/2011
5CPMH33BKFW413546|ALAPAI ST| saab|11/25/2011
4QAWL73GSSV855803|HALELEHUA ST| plymouth|7/8/2017
1LZCZ18GHEH985954|KING ST (NORTH)| nissan|2/29/2012
3PSJW90QVON493530|PIIKOI ST| bmw|1/22/2017
5KLUT10IMUT142330|HALAWA DR| porsche|6/30/2015
3TUGK91JWOE770977|MANAE ST| jaguar|4/2/2015
4XSIC0VHQS382384|WAIHEE PL| mercedes-benz|12/14/2011
4UUUV79TDVX361578|HIND IUKA DR|renault|12/3/2016
2OWUT12CKZS732343|KOHOU ST| bmw|7/21/2011
3LSXW35YFBS430961|12TH AVE|mitsubishi|9/18/2011
2YICX62OURZ263266|12TH AVE|isuzu|4/3/2012
1VSLP56LMRN354090|AAWA DR| dodge|9/29/2012
3RYHL95QOUF253509|PAHIA RD| volvo|5/4/2014
5XWIL96TFQL101970|HALOA DR| porsche|10/19/2014
1PXDZ76XUXF276357|KUAAINA WAY| bmw|10/2/2011
3XFUP90ZRRN726185|LEOMELE ST| mercedes-benz|7/4/2013
3VGOH91NAFU880576|KANAMEE ST| chevrolet|10/4/2015
